propertyType,price,area,province,district,municipality,wardNo,bhk,furnished,parking,roadAccess,roomType,wifi,floorNumber,meetingRoom,propertyAgeYears
home,23734840,4315.35,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,31,1,unfurnished,False,25,,False,2,False,15
office,97564,4491.57,Koshi,Morang,Biratnagar Metropolitan City,15,0,fully-furnished,True,16,,False,1,True,30
land,35163220,2983.82,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,28,0,,False,30,,False,0,False,0
office,93202,1430.4,Bagmati,Lalitpur,Lalitpur Metropolitan City,32,0,fully-furnished,False,10,,False,3,False,18
land,23457238,2763.07,Gandaki,Kaski,Pokhara Metropolitan City,2,0,,False,10,,False,0,False,0
land,12302893,2694.17,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,30,0,,False,30,,False,0,False,0
home,47506909,3432.61,Koshi,Jhapa,Birtamode Municipality,24,1,unfurnished,True,16,,False,3,False,33
room,48140,777.6,Bagmati,Kathmandu,Kathmandu Metropolitan City,28,1,unfurnished,True,20,shared,True,5,False,30
land,34229302,2346.71,Koshi,Morang,Biratnagar Metropolitan City,8,0,,False,20,,False,0,False,0
room,44620,257.74,Bagmati,Kathmandu,Kathmandu Metropolitan City,24,0,unfurnished,True,10,shared,True,5,False,3
home,22942081,2145.95,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,15,5,unfurnished,False,13,,False,1,False,4
room,42516,537.6,Koshi,Morang,Biratnagar Metropolitan City,29,0,semi-furnished,False,16,1bhk,False,1,False,6
land,14999858,2379.93,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,6,0,,False,13,,False,0,False,0
land,49780388,1886.55,Bagmati,Lalitpur,Lalitpur Metropolitan City,11,0,,False,10,,False,0,False,0
home,47095793,2986.89,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,14,1,semi-furnished,False,25,,False,2,False,30
office,22815,3767.23,Koshi,Morang,Biratnagar Metropolitan City,29,0,semi-furnished,True,0,,False,1,True,33
office,123130,3382.07,Koshi,Morang,Biratnagar Metropolitan City,22,0,semi-furnished,False,20,,False,8,False,19
room,22862,810.34,Bagmati,Bhaktapur,Bhaktapur Municipality,11,2,semi-furnished,False,0,double,False,3,False,14
home,16768166,1565.58,Bagmati,Bhaktapur,Bhaktapur Municipality,19,2,fully-furnished,True,0,,False,1,False,20
office,46890,2037.46,Bagmati,Bhaktapur,Bhaktapur Municipality,17,0,unfurnished,True,25,,False,6,False,9
office,35923,2808.12,Koshi,Morang,Biratnagar Metropolitan City,11,0,fully-furnished,False,16,,False,3,False,20
land,22834485,3483.15,Bagmati,Bhaktapur,Bhaktapur Municipality,22,0,,False,16,,False,0,False,0
home,12537373,2222.47,Bagmati,Chitwan,Bharatpur Metropolitan City,29,4,fully-furnished,True,25,,False,1,False,19
office,32121,2396.07,Bagmati,Kathmandu,Kathmandu Metropolitan City,15,0,semi-furnished,True,20,,False,4,True,17
land,32894185,3015.17,Gandaki,Kaski,Pokhara Metropolitan City,6,0,,False,25,,False,0,False,0
office,99058,2605.19,Bagmati,Lalitpur,Lalitpur Metropolitan City,13,0,unfurnished,True,25,,False,6,False,9
room,26654,435.55,Koshi,Jhapa,Birtamode Municipality,25,1,semi-furnished,False,16,1bhk,True,2,False,23
office,125601,1656.58,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,29,0,unfurnished,False,25,,False,7,True,37
home,40252356,2073.57,Bagmati,Lalitpur,Lalitpur Metropolitan City,14,3,fully-furnished,False,0,,False,1,False,26
office,113093,2912.33,Bagmati,Chitwan,Bharatpur Metropolitan City,12,0,unfurnished,True,10,,False,3,False,18
office,59582,4167.16,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,3,0,unfurnished,False,16,,False,8,True,1
home,47986932,2060.71,Bagmati,Kathmandu,Kathmandu Metropolitan City,17,4,fully-furnished,False,16,,False,2,False,31
land,36088040,3988.29,Gandaki,Kaski,Pokhara Metropolitan City,8,0,,False,0,,False,0,False,0
office,102312,4381.23,Koshi,Morang,Biratnagar Metropolitan City,28,0,unfurnished,False,25,,False,2,False,32
room,17577,623.49,Bagmati,Kathmandu,Kathmandu Metropolitan City,11,1,semi-furnished,True,13,double,True,3,False,11
room,42708,360.87,Koshi,Jhapa,Birtamode Municipality,4,0,unfurnished,True,10,single,True,5,False,10
room,31758,716.9,Koshi,Morang,Biratnagar Metropolitan City,18,0,unfurnished,False,10,single,True,5,False,9
office,139378,1899.47,Koshi,Morang,Biratnagar Metropolitan City,27,0,fully-furnished,True,10,,False,3,True,12
land,8127139,2680.11,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,27,0,,False,0,,False,0,False,0
land,49375627,2197.3,Bagmati,Bhaktapur,Bhaktapur Municipality,31,0,,False,13,,False,0,False,0
office,59935,1109.37,Bagmati,Bhaktapur,Bhaktapur Municipality,22,0,fully-furnished,True,10,,False,3,True,14
home,10275089,1346.92,Bagmati,Chitwan,Bharatpur Metropolitan City,14,4,unfurnished,True,0,,False,1,False,30
land,47277679,1163.61,Koshi,Jhapa,Birtamode Municipality,13,0,,False,20,,False,0,False,0
office,25672,4570.09,Bagmati,Kathmandu,Kathmandu Metropolitan City,8,0,fully-furnished,False,25,,False,1,True,7
home,6963546,3616.52,Gandaki,Kaski,Pokhara Metropolitan City,12,1,fully-furnished,False,20,,False,3,False,22
home,43797894,1216.24,Bagmati,Bhaktapur,Bhaktapur Municipality,5,1,unfurnished,True,25,,False,2,False,18
land,36835971,4674.2,Bagmati,Bhaktapur,Bhaktapur Municipality,7,0,,False,30,,False,0,False,0
room,15033,495.7,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,12,1,semi-furnished,False,16,double,True,4,False,3
land,12120924,1174.36,Koshi,Morang,Biratnagar Metropolitan City,30,0,,False,16,,False,0,False,0
room,40355,174.02,Koshi,Morang,Biratnagar Metropolitan City,3,0,semi-furnished,False,16,1bhk,False,4,False,7
office,76093,4929.32,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,19,0,fully-furnished,True,30,,False,8,False,11
office,88506,2162.94,Bagmati,Kathmandu,Kathmandu Metropolitan City,7,0,unfurnished,True,0,,False,3,False,25
home,18360461,2327.58,Bagmati,Lalitpur,Lalitpur Metropolitan City,5,3,fully-furnished,False,0,,False,2,False,27
room,34229,780.67,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,18,1,semi-furnished,False,16,1bhk,False,2,False,24
land,36371478,1777.97,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,8,0,,False,10,,False,0,False,0
land,7578748,3872.53,Bagmati,Bhaktapur,Bhaktapur Municipality,7,0,,False,16,,False,0,False,0
home,26941638,3339.25,Bagmati,Kathmandu,Kathmandu Metropolitan City,25,2,semi-furnished,True,30,,False,1,False,33
office,85260,1679.75,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,13,0,semi-furnished,False,20,,False,6,True,2
land,28255519,2635.5,Koshi,Jhapa,Birtamode Municipality,25,0,,False,16,,False,0,False,0
land,47252324,1460.54,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,3,0,,False,30,,False,0,False,0
home,25968813,2608.86,Bagmati,Chitwan,Bharatpur Metropolitan City,32,4,semi-furnished,True,20,,False,4,False,35
office,40487,2942.6,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,31,0,unfurnished,True,16,,False,5,False,37
room,9844,388.43,Koshi,Jhapa,Birtamode Municipality,19,0,fully-furnished,False,13,2bhk,True,3,False,12
office,73992,4962.14,Bagmati,Lalitpur,Lalitpur Metropolitan City,23,0,semi-furnished,True,25,,False,4,True,15
land,10682038,4436.44,Bagmati,Chitwan,Bharatpur Metropolitan City,5,0,,False,13,,False,0,False,0
land,47142048,860.72,Bagmati,Bhaktapur,Bhaktapur Municipality,21,0,,False,30,,False,0,False,0
office,81564,395.89,Koshi,Jhapa,Birtamode Municipality,18,0,unfurnished,True,13,,False,7,False,20
office,46988,3547.06,Bagmati,Lalitpur,Lalitpur Metropolitan City,7,0,semi-furnished,False,20,,False,6,True,39
room,49644,281.58,Bagmati,Chitwan,Bharatpur Metropolitan City,28,0,unfurnished,True,13,shared,True,3,False,18
home,43801892,3814.37,Koshi,Jhapa,Birtamode Municipality,6,1,unfurnished,False,13,,False,1,False,36
office,124287,1285.77,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,28,0,fully-furnished,False,20,,False,5,False,34
home,46940615,2489.66,Koshi,Morang,Biratnagar Metropolitan City,27,5,semi-furnished,True,0,,False,2,False,36
home,47810513,1925.33,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,30,5,unfurnished,False,20,,False,1,False,33
room,17861,232.97,Gandaki,Kaski,Pokhara Metropolitan City,30,1,semi-furnished,False,13,single,True,4,False,8
home,20846404,3684.79,Bagmati,Chitwan,Bharatpur Metropolitan City,17,4,fully-furnished,True,10,,False,2,False,1
room,36582,536.84,Gandaki,Kaski,Pokhara Metropolitan City,30,2,unfurnished,True,10,double,False,2,False,0
room,10767,679.86,Bagmati,Chitwan,Bharatpur Metropolitan City,12,2,fully-furnished,True,0,shared,False,1,False,28
room,17211,457.21,Koshi,Jhapa,Birtamode Municipality,6,1,fully-furnished,True,20,2bhk,False,4,False,28
home,26032611,4047.4,Bagmati,Lalitpur,Lalitpur Metropolitan City,8,3,unfurnished,False,30,,False,2,False,27
home,23424559,1535.65,Gandaki,Kaski,Pokhara Metropolitan City,7,4,semi-furnished,False,30,,False,1,False,31
room,35772,384.84,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,8,2,unfurnished,True,13,double,False,4,False,22
room,47702,680.86,Koshi,Morang,Biratnagar Metropolitan City,2,0,unfurnished,True,10,shared,False,3,False,20
land,29069848,4387.88,Koshi,Morang,Biratnagar Metropolitan City,16,0,,False,0,,False,0,False,0
room,23431,181.23,Koshi,Jhapa,Birtamode Municipality,20,1,fully-furnished,True,16,2bhk,False,4,False,25
room,40223,840.88,Bagmati,Kathmandu,Kathmandu Metropolitan City,6,2,unfurnished,False,13,2bhk,False,1,False,26
room,47460,416.67,Bagmati,Bhaktapur,Bhaktapur Municipality,5,1,semi-furnished,True,0,2bhk,True,4,False,25
land,23504948,1560.32,Bagmati,Bhaktapur,Bhaktapur Municipality,26,0,,False,13,,False,0,False,0
land,46565770,1773.3,Bagmati,Lalitpur,Lalitpur Metropolitan City,11,0,,False,30,,False,0,False,0
office,134492,2422.0,Bagmati,Bhaktapur,Bhaktapur Municipality,21,0,unfurnished,True,13,,False,3,False,18
land,29406947,2280.68,Gandaki,Kaski,Pokhara Metropolitan City,27,0,,False,16,,False,0,False,0
land,46426594,4669.38,Gandaki,Kaski,Pokhara Metropolitan City,2,0,,False,20,,False,0,False,0
land,14325020,1552.54,Gandaki,Kaski,Pokhara Metropolitan City,30,0,,False,0,,False,0,False,0
office,145571,1001.48,Koshi,Jhapa,Birtamode Municipality,17,0,semi-furnished,True,20,,False,2,True,33
office,113528,857.01,Koshi,Jhapa,Birtamode Municipality,32,0,fully-furnished,True,30,,False,5,False,31
home,45270874,4396.62,Koshi,Jhapa,Birtamode Municipality,28,2,semi-furnished,True,16,,False,2,False,26
land,18803172,4897.35,Bagmati,Bhaktapur,Bhaktapur Municipality,19,0,,False,20,,False,0,False,0
home,48435243,3248.19,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,24,4,fully-furnished,True,16,,False,2,False,20
home,45077141,3775.5,Koshi,Jhapa,Birtamode Municipality,25,3,fully-furnished,True,20,,False,1,False,3
home,45693101,4614.55,Koshi,Morang,Biratnagar Metropolitan City,31,5,unfurnished,True,0,,False,3,False,32
room,16666,704.14,Koshi,Jhapa,Birtamode Municipality,26,0,unfurnished,True,13,double,False,3,False,28
home,40596138,2132.73,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,6,4,fully-furnished,False,0,,False,3,False,2
office,141403,3814.77,Bagmati,Bhaktapur,Bhaktapur Municipality,18,0,semi-furnished,False,13,,False,5,False,27
room,17913,787.31,Bagmati,Bhaktapur,Bhaktapur Municipality,32,2,fully-furnished,True,10,single,True,2,False,1
room,36601,735.37,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,11,0,semi-furnished,True,16,shared,False,4,False,15
home,18672337,2268.34,Bagmati,Lalitpur,Lalitpur Metropolitan City,8,3,fully-furnished,True,25,,False,3,False,36
land,8156340,2490.6,Gandaki,Kaski,Pokhara Metropolitan City,12,0,,False,10,,False,0,False,0
land,48722097,811.64,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,22,0,,False,25,,False,0,False,0
office,144678,3074.59,Bagmati,Lalitpur,Lalitpur Metropolitan City,24,0,fully-furnished,False,10,,False,1,True,29
office,20760,3092.76,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,18,0,semi-furnished,True,25,,False,8,False,36
home,23988722,4166.54,Bagmati,Bhaktapur,Bhaktapur Municipality,4,3,fully-furnished,True,20,,False,4,False,5
room,34143,316.07,Koshi,Jhapa,Birtamode Municipality,12,0,fully-furnished,True,10,studio,False,3,False,20
land,32015082,2810.63,Bagmati,Bhaktapur,Bhaktapur Municipality,20,0,,False,25,,False,0,False,0
home,29659610,3595.19,Bagmati,Chitwan,Bharatpur Metropolitan City,23,5,fully-furnished,False,16,,False,4,False,30
office,126298,3855.51,Bagmati,Chitwan,Bharatpur Metropolitan City,6,0,semi-furnished,True,16,,False,7,True,2
room,18162,708.8,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,30,2,unfurnished,True,13,studio,False,1,False,29
room,27687,985.77,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,10,1,unfurnished,False,13,1bhk,True,5,False,2
land,34182569,2475.98,Bagmati,Kathmandu,Kathmandu Metropolitan City,28,0,,False,25,,False,0,False,0
room,40993,627.01,Bagmati,Chitwan,Bharatpur Metropolitan City,17,0,fully-furnished,False,10,double,False,1,False,2
room,37818,628.49,Koshi,Jhapa,Birtamode Municipality,21,2,unfurnished,False,13,double,True,2,False,2
land,3392390,2997.82,Bagmati,Chitwan,Bharatpur Metropolitan City,28,0,,False,16,,False,0,False,0
land,33881017,3519.94,Bagmati,Lalitpur,Lalitpur Metropolitan City,11,0,,False,25,,False,0,False,0
office,147653,3206.95,Koshi,Jhapa,Birtamode Municipality,20,0,unfurnished,False,25,,False,7,False,5
home,6066040,1601.37,Bagmati,Bhaktapur,Bhaktapur Municipality,1,2,fully-furnished,True,16,,False,2,False,15
home,36099962,2063.86,Koshi,Jhapa,Birtamode Municipality,6,2,semi-furnished,False,0,,False,1,False,10
office,132695,2516.0,Bagmati,Bhaktapur,Bhaktapur Municipality,32,0,semi-furnished,True,10,,False,5,False,3
land,31976798,3410.76,Koshi,Morang,Biratnagar Metropolitan City,7,0,,False,16,,False,0,False,0
room,39857,538.75,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,3,2,fully-furnished,True,20,single,False,5,False,10
land,30993620,4539.37,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,18,0,,False,16,,False,0,False,0
office,77177,2407.13,Bagmati,Lalitpur,Lalitpur Metropolitan City,23,0,fully-furnished,True,13,,False,4,False,22
home,27760172,3268.17,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,15,5,unfurnished,False,10,,False,3,False,24
room,18618,819.78,Koshi,Jhapa,Birtamode Municipality,31,1,semi-furnished,True,16,double,True,2,False,5
land,36133329,4755.14,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,27,0,,False,13,,False,0,False,0
home,29077771,4996.9,Gandaki,Kaski,Pokhara Metropolitan City,4,3,semi-furnished,True,10,,False,1,False,4
office,35818,3202.55,Koshi,Morang,Biratnagar Metropolitan City,8,0,unfurnished,True,16,,False,5,False,22
room,41776,868.07,Bagmati,Kathmandu,Kathmandu Metropolitan City,10,0,unfurnished,True,16,studio,True,1,False,25
land,10922828,1418.3,Bagmati,Lalitpur,Lalitpur Metropolitan City,7,0,,False,30,,False,0,False,0
room,36935,755.51,Gandaki,Kaski,Pokhara Metropolitan City,11,2,unfurnished,True,10,2bhk,False,3,False,26
land,30900499,2588.17,Bagmati,Bhaktapur,Bhaktapur Municipality,13,0,,False,30,,False,0,False,0
home,38891501,2233.54,Bagmati,Kathmandu,Kathmandu Metropolitan City,31,2,fully-furnished,False,13,,False,4,False,23
home,14260642,4106.31,Gandaki,Kaski,Pokhara Metropolitan City,27,4,semi-furnished,False,16,,False,3,False,1
home,39718683,3814.03,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,1,1,fully-furnished,False,13,,False,4,False,10
land,47303672,3964.53,Koshi,Jhapa,Birtamode Municipality,26,0,,False,25,,False,0,False,0
land,48692456,2503.01,Bagmati,Bhaktapur,Bhaktapur Municipality,19,0,,False,25,,False,0,False,0
room,8517,918.31,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,21,1,unfurnished,True,16,studio,True,5,False,19
room,27761,797.86,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,26,0,fully-furnished,False,16,2bhk,True,5,False,17
home,25954904,2949.02,Bagmati,Chitwan,Bharatpur Metropolitan City,6,5,semi-furnished,True,0,,False,1,False,34
home,38908403,3851.34,Bagmati,Chitwan,Bharatpur Metropolitan City,20,1,unfurnished,True,30,,False,3,False,16
room,16175,142.96,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,8,2,semi-furnished,True,16,shared,True,5,False,18
home,49756402,2056.65,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,23,5,unfurnished,True,25,,False,4,False,33
land,15922164,2920.74,Gandaki,Kaski,Pokhara Metropolitan City,21,0,,False,30,,False,0,False,0
office,75796,988.8,Koshi,Morang,Biratnagar Metropolitan City,7,0,semi-furnished,True,0,,False,1,False,8
home,40316415,1127.91,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,29,4,unfurnished,False,30,,False,3,False,37
office,144232,3538.38,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,29,0,semi-furnished,False,30,,False,3,True,32
office,112343,908.11,Bagmati,Bhaktapur,Bhaktapur Municipality,30,0,unfurnished,True,25,,False,4,False,30
home,12970255,4671.13,Bagmati,Kathmandu,Kathmandu Metropolitan City,24,5,semi-furnished,True,0,,False,3,False,36
land,23463142,1206.29,Bagmati,Chitwan,Bharatpur Metropolitan City,10,0,,False,13,,False,0,False,0
room,17363,125.18,Bagmati,Chitwan,Bharatpur Metropolitan City,32,1,unfurnished,False,0,shared,False,2,False,5
land,7534179,3054.41,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,8,0,,False,30,,False,0,False,0
office,94155,2993.38,Bagmati,Kathmandu,Kathmandu Metropolitan City,31,0,semi-furnished,False,30,,False,7,False,38
home,49776426,3999.05,Bagmati,Bhaktapur,Bhaktapur Municipality,30,4,fully-furnished,False,0,,False,4,False,24
office,145577,2842.67,Gandaki,Kaski,Pokhara Metropolitan City,22,0,unfurnished,False,25,,False,5,True,10
room,13580,679.52,Bagmati,Kathmandu,Kathmandu Metropolitan City,8,1,unfurnished,True,20,1bhk,True,4,False,16
land,21452422,4838.22,Bagmati,Kathmandu,Kathmandu Metropolitan City,12,0,,False,30,,False,0,False,0
home,40805522,1155.52,Gandaki,Kaski,Pokhara Metropolitan City,29,5,semi-furnished,False,20,,False,1,False,31
room,9576,262.46,Bagmati,Kathmandu,Kathmandu Metropolitan City,28,1,semi-furnished,False,0,single,True,5,False,5
home,11014871,1873.33,Bagmati,Chitwan,Bharatpur Metropolitan City,12,2,semi-furnished,False,25,,False,2,False,3
home,25000074,3795.86,Koshi,Morang,Biratnagar Metropolitan City,2,4,fully-furnished,False,10,,False,4,False,20
office,51407,543.83,Bagmati,Chitwan,Bharatpur Metropolitan City,8,0,unfurnished,True,16,,False,7,True,17
room,12289,597.81,Bagmati,Kathmandu,Kathmandu Metropolitan City,30,2,fully-furnished,False,10,single,False,5,False,30
home,32296256,2079.37,Bagmati,Lalitpur,Lalitpur Metropolitan City,9,4,fully-furnished,True,30,,False,2,False,23
home,33437545,3057.65,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,16,5,semi-furnished,True,0,,False,4,False,39
home,37358972,1052.74,Bagmati,Chitwan,Bharatpur Metropolitan City,1,3,unfurnished,False,30,,False,4,False,22
room,43002,245.27,Gandaki,Kaski,Pokhara Metropolitan City,3,0,semi-furnished,True,16,2bhk,True,2,False,23
room,41083,289.77,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,28,1,unfurnished,False,13,2bhk,False,3,False,7
room,47289,513.82,Koshi,Morang,Biratnagar Metropolitan City,14,1,fully-furnished,True,0,1bhk,False,1,False,28
home,37814671,3134.32,Bagmati,Kathmandu,Kathmandu Metropolitan City,27,4,unfurnished,True,30,,False,1,False,34
office,126532,1959.08,Bagmati,Kathmandu,Kathmandu Metropolitan City,8,0,semi-furnished,False,16,,False,3,True,7
room,22517,500.12,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,13,0,semi-furnished,False,10,single,False,2,False,7
room,47716,352.68,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,3,1,fully-furnished,True,16,single,False,5,False,16
home,42963957,3571.32,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,13,5,unfurnished,True,0,,False,2,False,4
room,25978,892.9,Bagmati,Bhaktapur,Bhaktapur Municipality,15,1,unfurnished,True,20,1bhk,False,5,False,28
land,46622778,3456.16,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,28,0,,False,0,,False,0,False,0
office,109151,1587.97,Koshi,Morang,Biratnagar Metropolitan City,27,0,unfurnished,False,16,,False,6,True,14
room,28725,579.17,Bagmati,Kathmandu,Kathmandu Metropolitan City,27,0,semi-furnished,True,13,single,True,2,False,22
land,25093891,1546.57,Koshi,Jhapa,Birtamode Municipality,16,0,,False,13,,False,0,False,0
land,4612191,2763.86,Bagmati,Lalitpur,Lalitpur Metropolitan City,2,0,,False,20,,False,0,False,0
room,23621,197.06,Koshi,Morang,Biratnagar Metropolitan City,16,1,fully-furnished,False,20,double,True,5,False,19
land,8740136,3189.42,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,29,0,,False,0,,False,0,False,0
office,110880,4483.39,Bagmati,Kathmandu,Kathmandu Metropolitan City,21,0,fully-furnished,True,0,,False,8,True,19
land,40531172,3613.53,Koshi,Jhapa,Birtamode Municipality,7,0,,False,0,,False,0,False,0
office,118561,750.4,Bagmati,Chitwan,Bharatpur Metropolitan City,26,0,semi-furnished,True,30,,False,1,False,24
office,142891,1896.2,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,7,0,unfurnished,True,16,,False,6,True,6
land,15993251,3249.41,Bagmati,Lalitpur,Lalitpur Metropolitan City,5,0,,False,20,,False,0,False,0
room,48688,478.91,Bagmati,Bhaktapur,Bhaktapur Municipality,23,2,fully-furnished,True,10,single,True,2,False,9
room,43464,625.3,Koshi,Jhapa,Birtamode Municipality,20,1,fully-furnished,False,13,1bhk,False,3,False,11
home,42544048,1797.03,Bagmati,Kathmandu,Kathmandu Metropolitan City,4,1,semi-furnished,False,10,,False,2,False,40
land,34925368,1514.23,Gandaki,Kaski,Pokhara Metropolitan City,22,0,,False,25,,False,0,False,0
room,35439,654.49,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,22,1,fully-furnished,True,16,single,False,2,False,29
home,19303483,2759.45,Bagmati,Kathmandu,Kathmandu Metropolitan City,15,2,semi-furnished,False,30,,False,4,False,13
home,9948014,2323.83,Koshi,Jhapa,Birtamode Municipality,1,3,fully-furnished,True,10,,False,3,False,28
room,21049,977.78,Gandaki,Kaski,Pokhara Metropolitan City,3,1,semi-furnished,True,10,shared,True,3,False,27
home,16816355,1623.15,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,12,3,fully-furnished,True,30,,False,2,False,24
room,23738,374.57,Bagmati,Lalitpur,Lalitpur Metropolitan City,14,1,semi-furnished,True,20,1bhk,False,1,False,3
home,30380272,1605.06,Bagmati,Bhaktapur,Bhaktapur Municipality,13,3,semi-furnished,False,25,,False,2,False,2
room,11490,394.91,Gandaki,Kaski,Pokhara Metropolitan City,10,1,fully-furnished,False,10,2bhk,True,4,False,25
home,48290019,3955.49,Bagmati,Lalitpur,Lalitpur Metropolitan City,25,5,semi-furnished,False,20,,False,4,False,11
room,40426,744.08,Koshi,Morang,Biratnagar Metropolitan City,31,2,semi-furnished,False,20,2bhk,True,2,False,7
office,60107,2160.73,Gandaki,Kaski,Pokhara Metropolitan City,16,0,semi-furnished,False,20,,False,3,False,16
land,22800337,3931.98,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,9,0,,False,16,,False,0,False,0
room,38490,625.57,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,15,1,semi-furnished,False,16,studio,False,3,False,25
room,19768,444.13,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,18,2,fully-furnished,False,0,shared,True,3,False,26
land,9604123,4684.41,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,18,0,,False,0,,False,0,False,0
room,29873,591.42,Bagmati,Lalitpur,Lalitpur Metropolitan City,3,1,unfurnished,False,13,shared,False,2,False,22
room,26471,793.07,Bagmati,Bhaktapur,Bhaktapur Municipality,1,1,semi-furnished,False,20,2bhk,True,4,False,20
home,19084474,1755.83,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,26,4,fully-furnished,False,25,,False,4,False,21
room,35373,485.91,Bagmati,Lalitpur,Lalitpur Metropolitan City,13,1,semi-furnished,False,20,single,False,2,False,18
room,31243,549.82,Bagmati,Bhaktapur,Bhaktapur Municipality,1,1,fully-furnished,False,16,2bhk,False,5,False,9
land,13314044,4665.22,Koshi,Morang,Biratnagar Metropolitan City,3,0,,False,13,,False,0,False,0
office,28350,4758.86,Koshi,Jhapa,Birtamode Municipality,14,0,unfurnished,False,10,,False,8,True,21
room,44235,254.28,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,6,1,fully-furnished,False,0,double,True,1,False,29
room,42366,309.74,Koshi,Jhapa,Birtamode Municipality,14,0,semi-furnished,True,13,1bhk,True,2,False,10
office,36926,4951.1,Koshi,Jhapa,Birtamode Municipality,11,0,unfurnished,False,16,,False,2,False,13
home,49613479,2615.24,Bagmati,Bhaktapur,Bhaktapur Municipality,20,4,fully-furnished,False,20,,False,2,False,32
room,17351,106.7,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,13,2,fully-furnished,False,20,double,False,5,False,28
office,116638,3007.82,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,30,0,fully-furnished,False,25,,False,8,False,19
home,46455595,1846.37,Koshi,Jhapa,Birtamode Municipality,27,4,semi-furnished,False,25,,False,2,False,36
office,134103,1426.57,Bagmati,Lalitpur,Lalitpur Metropolitan City,3,0,fully-furnished,False,25,,False,5,True,13
office,30031,4977.99,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,8,0,fully-furnished,False,16,,False,8,True,16
land,45873613,814.89,Gandaki,Kaski,Pokhara Metropolitan City,30,0,,False,25,,False,0,False,0
office,132167,3806.0,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,22,0,fully-furnished,False,0,,False,1,False,7
room,12471,536.28,Bagmati,Bhaktapur,Bhaktapur Municipality,30,0,unfurnished,True,16,double,False,3,False,26
home,16894147,3349.35,Bagmati,Bhaktapur,Bhaktapur Municipality,2,3,fully-furnished,False,10,,False,1,False,0
home,19540640,2303.97,Bagmati,Chitwan,Bharatpur Metropolitan City,29,1,unfurnished,True,16,,False,1,False,40
land,32795442,3668.49,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,25,0,,False,0,,False,0,False,0
