propertyType,price,area,province,district,municipality,wardNo,bhk,furnished,parking,roadAccess,roomType,wifi,floorNumber,meetingRoom,propertyAgeYears,popularityScore
office,27641,4032.97,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,24,0,unfurnished,False,20,,False,1,True,19,30.31
home,20503355,1225.15,Bagmati,Lalitpur,Lalitpur Metropolitan City,7,5,semi-furnished,True,10,,False,2,False,36,56.58
office,95571,3901.53,Bagmati,Bhaktapur,Bhaktapur Municipality,7,0,semi-furnished,False,25,,False,7,True,10,52.52
office,89979,3390.4,Bagmati,Bhaktapur,Bhaktapur Municipality,22,0,unfurnished,False,13,,False,6,False,23,27.55
office,93812,3159.54,Koshi,Jhapa,Birtamode Municipality,21,0,unfurnished,True,16,,False,5,False,28,36.65
office,148838,3713.67,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,1,0,semi-furnished,True,20,,False,3,False,0,57.51
home,6456354,4394.03,Bagmati,Chitwan,Bharatpur Metropolitan City,14,3,unfurnished,True,0,,False,1,False,29,39.11
home,44067808,1912.95,Koshi,Morang,Biratnagar Metropolitan City,9,2,fully-furnished,False,30,,False,3,False,5,69.36
home,37382253,3839.04,Koshi,Jhapa,Birtamode Municipality,5,2,semi-furnished,True,20,,False,3,False,2,61.17
land,25440509,4664.05,Koshi,Jhapa,Birtamode Municipality,4,0,,False,13,,False,0,False,0,50.12
office,49716,4388.0,Koshi,Jhapa,Birtamode Municipality,8,0,unfurnished,True,25,,False,7,True,19,44.33
land,13038145,3021.7,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,21,0,,False,13,,False,0,False,0,35.29
home,31365911,1012.18,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,10,4,unfurnished,True,10,,False,4,False,18,55.13
home,36934065,2211.91,Koshi,Jhapa,Birtamode Municipality,9,5,unfurnished,True,20,,False,4,False,16,69.53
office,37088,3936.98,Bagmati,Lalitpur,Lalitpur Metropolitan City,28,0,fully-furnished,False,20,,False,4,False,25,36.48
home,33861222,1100.9,Gandaki,Kaski,Pokhara Metropolitan City,16,3,unfurnished,True,0,,False,4,False,27,56.13
room,46920,388.66,Koshi,Morang,Biratnagar Metropolitan City,13,0,semi-furnished,True,13,1bhk,False,5,False,4,35.78
land,28086688,1558.65,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,15,0,,False,10,,False,0,False,0,54.11
land,44674768,1745.11,Bagmati,Lalitpur,Lalitpur Metropolitan City,4,0,,False,10,,False,0,False,0,46.34
land,10467739,3683.32,Bagmati,Chitwan,Bharatpur Metropolitan City,22,0,,False,13,,False,0,False,0,30.76
office,116994,1859.82,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,2,0,unfurnished,True,10,,False,5,False,39,20.29
land,47528633,3206.92,Bagmati,Bhaktapur,Bhaktapur Municipality,25,0,,False,20,,False,0,False,0,55.28
room,21152,154.1,Bagmati,Kathmandu,Kathmandu Metropolitan City,11,1,fully-furnished,False,0,single,False,3,False,21,31.17
land,46581244,1957.73,Koshi,Morang,Biratnagar Metropolitan City,2,0,,False,16,,False,0,False,0,43.16
office,83525,4548.2,Gandaki,Kaski,Pokhara Metropolitan City,7,0,unfurnished,True,10,,False,4,False,35,41.73
land,23463339,4665.76,Bagmati,Kathmandu,Kathmandu Metropolitan City,16,0,,False,13,,False,0,False,0,38.26
office,109694,386.35,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,11,0,semi-furnished,False,25,,False,5,True,32,42.94
land,4977422,4478.31,Bagmati,Chitwan,Bharatpur Metropolitan City,17,0,,False,20,,False,0,False,0,38.11
home,31363488,2235.5,Bagmati,Chitwan,Bharatpur Metropolitan City,10,2,fully-furnished,False,20,,False,2,False,26,57.46
home,45625618,4876.26,Gandaki,Kaski,Pokhara Metropolitan City,28,3,semi-furnished,True,10,,False,2,False,37,56.54
home,40151990,2097.79,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,9,2,semi-furnished,True,25,,False,2,False,20,54.46
land,12765871,2065.67,Bagmati,Lalitpur,Lalitpur Metropolitan City,12,0,,False,25,,False,0,False,0,56.75
room,27880,965.08,Bagmati,Kathmandu,Kathmandu Metropolitan City,27,2,unfurnished,False,10,double,True,2,False,5,60.51
room,23133,636.72,Bagmati,Kathmandu,Kathmandu Metropolitan City,15,0,semi-furnished,True,16,double,False,3,False,5,49.2
office,45330,946.31,Koshi,Jhapa,Birtamode Municipality,31,0,fully-furnished,True,16,,False,1,False,26,51.95
home,34479930,1077.77,Gandaki,Kaski,Pokhara Metropolitan City,14,5,semi-furnished,False,30,,False,4,False,15,67.97
office,128046,3157.27,Koshi,Jhapa,Birtamode Municipality,3,0,semi-furnished,False,16,,False,1,True,28,43.77
land,29549017,2930.42,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,16,0,,False,25,,False,0,False,0,68.66
office,77613,1192.3,Bagmati,Kathmandu,Kathmandu Metropolitan City,4,0,semi-furnished,False,30,,False,5,False,10,39.59
room,17321,720.96,Koshi,Jhapa,Birtamode Municipality,4,2,unfurnished,False,0,2bhk,True,2,False,24,20.61
home,35258437,2536.95,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,26,1,fully-furnished,False,20,,False,2,False,29,61.29
room,18747,722.55,Bagmati,Lalitpur,Lalitpur Metropolitan City,21,0,fully-furnished,True,16,2bhk,False,1,False,16,49.48
home,7946487,3111.45,Koshi,Jhapa,Birtamode Municipality,25,2,semi-furnished,True,10,,False,2,False,11,58.09
office,120745,1754.74,Bagmati,Kathmandu,Kathmandu Metropolitan City,20,0,semi-furnished,False,25,,False,3,True,8,59.12
land,36395223,752.49,Gandaki,Kaski,Pokhara Metropolitan City,17,0,,False,30,,False,0,False,0,63.23
land,42517881,1722.88,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,32,0,,False,25,,False,0,False,0,56.38
office,98802,2376.81,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,27,0,unfurnished,True,10,,False,5,True,3,58.31
home,7464308,3543.76,Bagmati,Bhaktapur,Bhaktapur Municipality,4,2,fully-furnished,False,13,,False,1,False,3,68.66
office,57274,1058.28,Bagmati,Lalitpur,Lalitpur Metropolitan City,12,0,unfurnished,True,16,,False,6,True,5,55.74
room,12434,907.78,Bagmati,Chitwan,Bharatpur Metropolitan City,24,2,unfurnished,True,13,studio,True,1,False,22,36.84
room,21700,572.18,Bagmati,Chitwan,Bharatpur Metropolitan City,27,0,fully-furnished,True,16,2bhk,False,4,False,19,41.39
room,48258,934.39,Koshi,Morang,Biratnagar Metropolitan City,23,2,unfurnished,False,16,double,True,3,False,6,44.58
land,10913861,2699.01,Bagmati,Kathmandu,Kathmandu Metropolitan City,2,0,,False,25,,False,0,False,0,64.57
office,65829,513.81,Gandaki,Kaski,Pokhara Metropolitan City,27,0,unfurnished,True,0,,False,4,False,16,31.42
room,29228,556.02,Bagmati,Lalitpur,Lalitpur Metropolitan City,20,0,fully-furnished,False,13,studio,True,2,False,6,57.05
room,10330,924.55,Koshi,Morang,Biratnagar Metropolitan City,31,1,semi-furnished,True,16,1bhk,False,4,False,25,59.07
land,48513072,3129.25,Koshi,Jhapa,Birtamode Municipality,20,0,,False,13,,False,0,False,0,53.45
land,25261304,3182.81,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,14,0,,False,30,,False,0,False,0,50.81
land,5091995,1905.98,Koshi,Morang,Biratnagar Metropolitan City,10,0,,False,13,,False,0,False,0,57.6
home,12841310,1586.99,Koshi,Jhapa,Birtamode Municipality,25,3,unfurnished,False,25,,False,1,False,17,52.98
land,27936551,4471.31,Koshi,Jhapa,Birtamode Municipality,32,0,,False,16,,False,0,False,0,27.62
home,30113189,1535.05,Bagmati,Chitwan,Bharatpur Metropolitan City,20,1,fully-furnished,True,16,,False,1,False,30,51.32
home,37445252,2228.49,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,13,5,semi-furnished,False,10,,False,1,False,33,36.0
home,40053971,2729.35,Bagmati,Bhaktapur,Bhaktapur Municipality,3,1,fully-furnished,False,0,,False,1,False,21,48.82
land,47223686,2938.48,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,7,0,,False,25,,False,0,False,0,56.62
land,17082505,3447.06,Bagmati,Chitwan,Bharatpur Metropolitan City,20,0,,False,13,,False,0,False,0,62.05
home,26417779,1961.93,Gandaki,Kaski,Pokhara Metropolitan City,19,4,unfurnished,True,13,,False,2,False,10,68.88
land,40555849,4820.68,Bagmati,Chitwan,Bharatpur Metropolitan City,1,0,,False,20,,False,0,False,0,48.82
home,23189998,3107.34,Bagmati,Lalitpur,Lalitpur Metropolitan City,23,2,unfurnished,False,20,,False,2,False,10,69.4
room,11324,586.52,Bagmati,Lalitpur,Lalitpur Metropolitan City,22,1,fully-furnished,False,0,single,False,1,False,2,26.84
office,136821,3611.98,Koshi,Jhapa,Birtamode Municipality,12,0,unfurnished,False,20,,False,6,False,21,36.12
land,9235498,3141.49,Gandaki,Kaski,Pokhara Metropolitan City,30,0,,False,30,,False,0,False,0,67.24
land,46246200,2034.68,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,30,0,,False,25,,False,0,False,0,44.58
office,38837,4753.01,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,15,0,unfurnished,False,13,,False,7,True,21,43.15
office,82303,442.24,Koshi,Morang,Biratnagar Metropolitan City,32,0,fully-furnished,False,16,,False,8,True,18,46.47
home,12179393,2503.88,Koshi,Morang,Biratnagar Metropolitan City,7,3,unfurnished,True,30,,False,3,False,34,57.15
office,51941,1421.3,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,27,0,unfurnished,True,16,,False,7,True,21,47.03
office,64852,2965.89,Gandaki,Kaski,Pokhara Metropolitan City,28,0,unfurnished,True,10,,False,2,False,7,66.05
room,19545,839.82,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,7,1,semi-furnished,True,20,single,False,3,False,15,50.69
land,41974673,4213.24,Bagmati,Kathmandu,Kathmandu Metropolitan City,14,0,,False,30,,False,0,False,0,65.77
home,24562452,2702.49,Bagmati,Kathmandu,Kathmandu Metropolitan City,10,4,unfurnished,False,10,,False,2,False,20,55.34
room,30561,746.01,Bagmati,Chitwan,Bharatpur Metropolitan City,28,0,unfurnished,True,20,1bhk,False,2,False,27,30.36
land,6565313,4574.63,Bagmati,Chitwan,Bharatpur Metropolitan City,24,0,,False,0,,False,0,False,0,45.06
room,10043,875.12,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,8,1,semi-furnished,False,13,2bhk,False,4,False,12,29.85
home,17631689,2794.46,Koshi,Jhapa,Birtamode Municipality,12,5,semi-furnished,False,30,,False,4,False,9,72.05
home,48512665,848.73,Bagmati,Chitwan,Bharatpur Metropolitan City,9,1,fully-furnished,False,25,,False,4,False,8,66.42
home,45562577,4412.64,Bagmati,Lalitpur,Lalitpur Metropolitan City,27,4,unfurnished,True,16,,False,4,False,35,63.02
office,75675,1360.98,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,23,0,unfurnished,True,20,,False,8,True,32,43.82
office,24963,457.27,Bagmati,Chitwan,Bharatpur Metropolitan City,24,0,unfurnished,False,25,,False,6,True,37,44.08
land,38326646,3839.8,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,10,0,,False,30,,False,0,False,0,53.56
office,99963,2759.78,Bagmati,Chitwan,Bharatpur Metropolitan City,6,0,fully-furnished,True,16,,False,2,False,39,44.12
room,41597,521.98,Bagmati,Kathmandu,Kathmandu Metropolitan City,1,2,unfurnished,False,16,shared,False,3,False,5,42.02
room,39009,155.28,Bagmati,Kathmandu,Kathmandu Metropolitan City,17,1,unfurnished,True,13,2bhk,True,3,False,15,31.8
home,23646117,4376.07,Bagmati,Lalitpur,Lalitpur Metropolitan City,5,3,fully-furnished,False,13,,False,3,False,0,78.02
home,29814631,3568.45,Bagmati,Lalitpur,Lalitpur Metropolitan City,10,2,semi-furnished,True,16,,False,2,False,33,66.53
room,47029,970.61,Bagmati,Kathmandu,Kathmandu Metropolitan City,6,1,semi-furnished,False,16,double,False,2,False,6,46.98
land,10784250,3948.58,Koshi,Morang,Biratnagar Metropolitan City,17,0,,False,0,,False,0,False,0,45.92
office,82425,2538.29,Bagmati,Bhaktapur,Bhaktapur Municipality,26,0,unfurnished,True,16,,False,7,False,16,53.31
office,124504,1657.32,Bagmati,Bhaktapur,Bhaktapur Municipality,1,0,semi-furnished,False,25,,False,6,True,6,61.55
room,25864,649.44,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,28,1,semi-furnished,False,0,shared,False,4,False,24,42.79
home,17074002,3646.42,Gandaki,Kaski,Pokhara Metropolitan City,22,3,unfurnished,True,25,,False,1,False,4,63.16
office,109849,2768.74,Bagmati,Kathmandu,Kathmandu Metropolitan City,7,0,semi-furnished,False,10,,False,5,False,12,37.19
land,42871965,944.59,Bagmati,Kathmandu,Kathmandu Metropolitan City,6,0,,False,25,,False,0,False,0,47.56
land,43579776,1071.46,Gandaki,Kaski,Pokhara Metropolitan City,8,0,,False,10,,False,0,False,0,65.29
home,22001073,3721.75,Koshi,Jhapa,Birtamode Municipality,8,3,semi-furnished,True,25,,False,4,False,17,69.01
room,12849,245.77,Koshi,Jhapa,Birtamode Municipality,17,1,fully-furnished,False,16,shared,True,3,False,30,33.23
home,18466676,1091.47,Bagmati,Chitwan,Bharatpur Metropolitan City,29,5,semi-furnished,True,25,,False,4,False,6,79.99
office,33926,3185.64,Bagmati,Bhaktapur,Bhaktapur Municipality,14,0,semi-furnished,False,0,,False,1,True,4,32.93
office,39510,4513.61,Bagmati,Chitwan,Bharatpur Metropolitan City,2,0,unfurnished,True,0,,False,7,False,9,51.16
office,143196,2722.3,Koshi,Morang,Biratnagar Metropolitan City,1,0,semi-furnished,False,16,,False,7,True,34,39.55
land,35350924,4802.87,Gandaki,Kaski,Pokhara Metropolitan City,25,0,,False,0,,False,0,False,0,44.01
room,34254,713.65,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,22,0,unfurnished,True,13,1bhk,False,1,False,26,35.33
room,10577,258.96,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,13,2,unfurnished,True,13,2bhk,False,1,False,20,33.95
office,77407,4460.51,Koshi,Morang,Biratnagar Metropolitan City,6,0,unfurnished,True,10,,False,1,True,1,46.94
office,90851,596.07,Gandaki,Kaski,Pokhara Metropolitan City,25,0,unfurnished,False,16,,False,8,True,2,40.69
land,5873234,4087.45,Koshi,Morang,Biratnagar Metropolitan City,22,0,,False,16,,False,0,False,0,50.44
home,41008025,4748.38,Bagmati,Lalitpur,Lalitpur Metropolitan City,30,2,unfurnished,True,0,,False,1,False,9,68.09
land,44498248,4600.87,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,31,0,,False,0,,False,0,False,0,52.36
home,8352624,1523.45,Gandaki,Kaski,Pokhara Metropolitan City,1,3,fully-furnished,False,20,,False,2,False,37,79.82
land,44314131,2837.72,Bagmati,Lalitpur,Lalitpur Metropolitan City,8,0,,False,10,,False,0,False,0,47.33
home,31978341,2216.84,Bagmati,Lalitpur,Lalitpur Metropolitan City,28,3,fully-furnished,True,13,,False,2,False,2,70.02
room,17256,208.67,Bagmati,Bhaktapur,Bhaktapur Municipality,5,2,fully-furnished,False,20,double,False,2,False,29,37.89
home,47425862,4122.42,Bagmati,Kathmandu,Kathmandu Metropolitan City,7,5,semi-furnished,True,0,,False,4,False,5,68.72
land,46738590,4682.39,Bagmati,Kathmandu,Kathmandu Metropolitan City,12,0,,False,20,,False,0,False,0,67.03
office,47021,3554.08,Bagmati,Chitwan,Bharatpur Metropolitan City,31,0,fully-furnished,False,20,,False,8,False,15,31.12
land,44073967,3783.95,Bagmati,Bhaktapur,Bhaktapur Municipality,12,0,,False,0,,False,0,False,0,56.23
room,23442,104.11,Bagmati,Chitwan,Bharatpur Metropolitan City,27,1,fully-furnished,True,20,shared,True,4,False,24,30.91
room,17779,274.35,Gandaki,Kaski,Pokhara Metropolitan City,4,2,semi-furnished,True,10,2bhk,True,1,False,20,36.28
room,29908,491.2,Koshi,Morang,Biratnagar Metropolitan City,14,2,fully-furnished,True,0,1bhk,True,2,False,25,31.9
office,50841,633.04,Bagmati,Kathmandu,Kathmandu Metropolitan City,8,0,unfurnished,False,20,,False,6,False,12,31.63
home,11580972,2169.76,Koshi,Morang,Biratnagar Metropolitan City,8,2,unfurnished,False,30,,False,2,False,24,65.13
land,6646652,3215.9,Gandaki,Kaski,Pokhara Metropolitan City,31,0,,False,16,,False,0,False,0,52.69
home,30064159,1547.86,Bagmati,Bhaktapur,Bhaktapur Municipality,30,2,semi-furnished,True,25,,False,3,False,17,58.59
room,45268,128.89,Gandaki,Kaski,Pokhara Metropolitan City,9,0,semi-furnished,True,0,studio,False,4,False,5,15.41
home,47815402,3335.27,Koshi,Morang,Biratnagar Metropolitan City,19,5,fully-furnished,True,0,,False,4,False,33,54.93
home,23734840,4315.35,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,31,1,unfurnished,False,25,,False,2,False,15,70.3
office,97564,4491.57,Koshi,Morang,Biratnagar Metropolitan City,15,0,fully-furnished,True,16,,False,1,True,30,44.99
land,35163220,2983.82,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,28,0,,False,30,,False,0,False,0,41.1
office,93202,1430.4,Bagmati,Lalitpur,Lalitpur Metropolitan City,32,0,fully-furnished,False,10,,False,3,False,18,49.73
land,23457238,2763.07,Gandaki,Kaski,Pokhara Metropolitan City,2,0,,False,10,,False,0,False,0,48.2
land,12302893,2694.17,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,30,0,,False,30,,False,0,False,0,34.62
home,47506909,3432.61,Koshi,Jhapa,Birtamode Municipality,24,1,unfurnished,True,16,,False,3,False,33,46.54
room,48140,777.6,Bagmati,Kathmandu,Kathmandu Metropolitan City,28,1,unfurnished,True,20,shared,True,5,False,30,46.5
land,34229302,2346.71,Koshi,Morang,Biratnagar Metropolitan City,8,0,,False,20,,False,0,False,0,58.68
room,44620,257.74,Bagmati,Kathmandu,Kathmandu Metropolitan City,24,0,unfurnished,True,10,shared,True,5,False,3,58.1
home,22942081,2145.95,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,15,5,unfurnished,False,13,,False,1,False,4,73.39
room,42516,537.6,Koshi,Morang,Biratnagar Metropolitan City,29,0,semi-furnished,False,16,1bhk,False,1,False,6,39.17
land,14999858,2379.93,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,6,0,,False,13,,False,0,False,0,39.64
land,49780388,1886.55,Bagmati,Lalitpur,Lalitpur Metropolitan City,11,0,,False,10,,False,0,False,0,75.48
home,47095793,2986.89,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,14,1,semi-furnished,False,25,,False,2,False,30,58.44
office,22815,3767.23,Koshi,Morang,Biratnagar Metropolitan City,29,0,semi-furnished,True,0,,False,1,True,33,31.5
office,123130,3382.07,Koshi,Morang,Biratnagar Metropolitan City,22,0,semi-furnished,False,20,,False,8,False,19,39.77
room,22862,810.34,Bagmati,Bhaktapur,Bhaktapur Municipality,11,2,semi-furnished,False,0,double,False,3,False,14,40.83
home,16768166,1565.58,Bagmati,Bhaktapur,Bhaktapur Municipality,19,2,fully-furnished,True,0,,False,1,False,20,56.41
office,46890,2037.46,Bagmati,Bhaktapur,Bhaktapur Municipality,17,0,unfurnished,True,25,,False,6,False,9,45.15
office,35923,2808.12,Koshi,Morang,Biratnagar Metropolitan City,11,0,fully-furnished,False,16,,False,3,False,20,41.63
land,22834485,3483.15,Bagmati,Bhaktapur,Bhaktapur Municipality,22,0,,False,16,,False,0,False,0,51.3
home,12537373,2222.47,Bagmati,Chitwan,Bharatpur Metropolitan City,29,4,fully-furnished,True,25,,False,1,False,19,68.27
office,32121,2396.07,Bagmati,Kathmandu,Kathmandu Metropolitan City,15,0,semi-furnished,True,20,,False,4,True,17,51.53
land,32894185,3015.17,Gandaki,Kaski,Pokhara Metropolitan City,6,0,,False,25,,False,0,False,0,60.06
office,99058,2605.19,Bagmati,Lalitpur,Lalitpur Metropolitan City,13,0,unfurnished,True,25,,False,6,False,9,50.78
room,26654,435.55,Koshi,Jhapa,Birtamode Municipality,25,1,semi-furnished,False,16,1bhk,True,2,False,23,49.74
office,125601,1656.58,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,29,0,unfurnished,False,25,,False,7,True,37,17.89
home,40252356,2073.57,Bagmati,Lalitpur,Lalitpur Metropolitan City,14,3,fully-furnished,False,0,,False,1,False,26,67.09
office,113093,2912.33,Bagmati,Chitwan,Bharatpur Metropolitan City,12,0,unfurnished,True,10,,False,3,False,18,50.12
office,59582,4167.16,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,3,0,unfurnished,False,16,,False,8,True,1,20.9
home,47986932,2060.71,Bagmati,Kathmandu,Kathmandu Metropolitan City,17,4,fully-furnished,False,16,,False,2,False,31,67.78
land,36088040,3988.29,Gandaki,Kaski,Pokhara Metropolitan City,8,0,,False,0,,False,0,False,0,40.62
office,102312,4381.23,Koshi,Morang,Biratnagar Metropolitan City,28,0,unfurnished,False,25,,False,2,False,32,25.57
room,17577,623.49,Bagmati,Kathmandu,Kathmandu Metropolitan City,11,1,semi-furnished,True,13,double,True,3,False,11,47.35
room,42708,360.87,Koshi,Jhapa,Birtamode Municipality,4,0,unfurnished,True,10,single,True,5,False,10,22.47
room,31758,716.9,Koshi,Morang,Biratnagar Metropolitan City,18,0,unfurnished,False,10,single,True,5,False,9,51.48
office,139378,1899.47,Koshi,Morang,Biratnagar Metropolitan City,27,0,fully-furnished,True,10,,False,3,True,12,63.09
land,8127139,2680.11,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,27,0,,False,0,,False,0,False,0,47.74
land,49375627,2197.3,Bagmati,Bhaktapur,Bhaktapur Municipality,31,0,,False,13,,False,0,False,0,58.45
office,59935,1109.37,Bagmati,Bhaktapur,Bhaktapur Municipality,22,0,fully-furnished,True,10,,False,3,True,14,46.25
home,10275089,1346.92,Bagmati,Chitwan,Bharatpur Metropolitan City,14,4,unfurnished,True,0,,False,1,False,30,42.37
land,47277679,1163.61,Koshi,Jhapa,Birtamode Municipality,13,0,,False,20,,False,0,False,0,55.58
office,25672,4570.09,Bagmati,Kathmandu,Kathmandu Metropolitan City,8,0,fully-furnished,False,25,,False,1,True,7,52.81
home,6963546,3616.52,Gandaki,Kaski,Pokhara Metropolitan City,12,1,fully-furnished,False,20,,False,3,False,22,69.46
home,43797894,1216.24,Bagmati,Bhaktapur,Bhaktapur Municipality,5,1,unfurnished,True,25,,False,2,False,18,60.61
land,36835971,4674.2,Bagmati,Bhaktapur,Bhaktapur Municipality,7,0,,False,30,,False,0,False,0,55.43
room,15033,495.7,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,12,1,semi-furnished,False,16,double,True,4,False,3,55.01
land,12120924,1174.36,Koshi,Morang,Biratnagar Metropolitan City,30,0,,False,16,,False,0,False,0,54.04
room,40355,174.02,Koshi,Morang,Biratnagar Metropolitan City,3,0,semi-furnished,False,16,1bhk,False,4,False,7,27.95
office,76093,4929.32,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,19,0,fully-furnished,True,30,,False,8,False,11,61.37
office,88506,2162.94,Bagmati,Kathmandu,Kathmandu Metropolitan City,7,0,unfurnished,True,0,,False,3,False,25,29.08
home,18360461,2327.58,Bagmati,Lalitpur,Lalitpur Metropolitan City,5,3,fully-furnished,False,0,,False,2,False,27,62.88
room,34229,780.67,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,18,1,semi-furnished,False,16,1bhk,False,2,False,24,46.29
land,36371478,1777.97,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,8,0,,False,10,,False,0,False,0,46.47
land,7578748,3872.53,Bagmati,Bhaktapur,Bhaktapur Municipality,7,0,,False,16,,False,0,False,0,52.77
home,26941638,3339.25,Bagmati,Kathmandu,Kathmandu Metropolitan City,25,2,semi-furnished,True,30,,False,1,False,33,57.86
office,85260,1679.75,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,13,0,semi-furnished,False,20,,False,6,True,2,63.21
land,28255519,2635.5,Koshi,Jhapa,Birtamode Municipality,25,0,,False,16,,False,0,False,0,45.96
land,47252324,1460.54,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,3,0,,False,30,,False,0,False,0,56.17
home,25968813,2608.86,Bagmati,Chitwan,Bharatpur Metropolitan City,32,4,semi-furnished,True,20,,False,4,False,35,71.63
office,40487,2942.6,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,31,0,unfurnished,True,16,,False,5,False,37,24.54
room,9844,388.43,Koshi,Jhapa,Birtamode Municipality,19,0,fully-furnished,False,13,2bhk,True,3,False,12,27.61
office,73992,4962.14,Bagmati,Lalitpur,Lalitpur Metropolitan City,23,0,semi-furnished,True,25,,False,4,True,15,44.13
land,10682038,4436.44,Bagmati,Chitwan,Bharatpur Metropolitan City,5,0,,False,13,,False,0,False,0,51.07
land,47142048,860.72,Bagmati,Bhaktapur,Bhaktapur Municipality,21,0,,False,30,,False,0,False,0,50.26
office,81564,395.89,Koshi,Jhapa,Birtamode Municipality,18,0,unfurnished,True,13,,False,7,False,20,44.25
office,46988,3547.06,Bagmati,Lalitpur,Lalitpur Metropolitan City,7,0,semi-furnished,False,20,,False,6,True,39,25.7
room,49644,281.58,Bagmati,Chitwan,Bharatpur Metropolitan City,28,0,unfurnished,True,13,shared,True,3,False,18,48.31
home,43801892,3814.37,Koshi,Jhapa,Birtamode Municipality,6,1,unfurnished,False,13,,False,1,False,36,41.48
office,124287,1285.77,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,28,0,fully-furnished,False,20,,False,5,False,34,42.32
home,46940615,2489.66,Koshi,Morang,Biratnagar Metropolitan City,27,5,semi-furnished,True,0,,False,2,False,36,48.42
home,47810513,1925.33,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,30,5,unfurnished,False,20,,False,1,False,33,62.01
room,17861,232.97,Gandaki,Kaski,Pokhara Metropolitan City,30,1,semi-furnished,False,13,single,True,4,False,8,40.5
home,20846404,3684.79,Bagmati,Chitwan,Bharatpur Metropolitan City,17,4,fully-furnished,True,10,,False,2,False,1,82.7
room,36582,536.84,Gandaki,Kaski,Pokhara Metropolitan City,30,2,unfurnished,True,10,double,False,2,False,0,50.59
room,10767,679.86,Bagmati,Chitwan,Bharatpur Metropolitan City,12,2,fully-furnished,True,0,shared,False,1,False,28,38.24
room,17211,457.21,Koshi,Jhapa,Birtamode Municipality,6,1,fully-furnished,True,20,2bhk,False,4,False,28,39.07
home,26032611,4047.4,Bagmati,Lalitpur,Lalitpur Metropolitan City,8,3,unfurnished,False,30,,False,2,False,27,62.89
home,23424559,1535.65,Gandaki,Kaski,Pokhara Metropolitan City,7,4,semi-furnished,False,30,,False,1,False,31,72.34
room,35772,384.84,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,8,2,unfurnished,True,13,double,False,4,False,22,16.6
room,47702,680.86,Koshi,Morang,Biratnagar Metropolitan City,2,0,unfurnished,True,10,shared,False,3,False,20,22.37
land,29069848,4387.88,Koshi,Morang,Biratnagar Metropolitan City,16,0,,False,0,,False,0,False,0,45.45
room,23431,181.23,Koshi,Jhapa,Birtamode Municipality,20,1,fully-furnished,True,16,2bhk,False,4,False,25,33.36
room,40223,840.88,Bagmati,Kathmandu,Kathmandu Metropolitan City,6,2,unfurnished,False,13,2bhk,False,1,False,26,40.1
room,47460,416.67,Bagmati,Bhaktapur,Bhaktapur Municipality,5,1,semi-furnished,True,0,2bhk,True,4,False,25,36.14
